episode,score,steps,total_reward,time,reason,efficiency,snake_length,grid_width,grid_height,grid_size,training_grid,is_training_grid,complexity_ratio,max_possible_score,agent
1,4,12,106.2166666666667,0.0,self_collision,0.3333333333333333,7,4,4,4x4,10x10,False,0.16,13,A*
2,1,4,-48.61666666666667,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
3,13,33,768.2833333333332,0.0,win,0.3939393939393939,16,4,4,4x4,10x10,False,0.16,13,A*
4,3,14,55.66666666666666,0.0,self_collision,0.21428571428571427,6,4,4,4x4,10x10,False,0.16,13,A*
5,5,19,158.4833333333333,0.0,self_collision,0.2631578947368421,8,4,4,4x4,10x10,False,0.16,13,A*
6,3,9,53.66666666666666,0.0,self_collision,0.3333333333333333,6,4,4,4x4,10x10,False,0.16,13,A*
7,9,38,364.19999999999993,0.0,self_collision,0.23684210526315788,12,4,4,4x4,10x10,False,0.16,13,A*
8,1,6,-47.983333333333334,0.0,self_collision,0.16666666666666666,4,4,4,4x4,10x10,False,0.16,13,A*
9,7,19,259.81666666666666,0.0,self_collision,0.3684210526315789,10,4,4,4x4,10x10,False,0.16,13,A*
10,6,23,209.38333333333333,0.0,wall_collision,0.2608695652173913,9,4,4,4x4,10x10,False,0.16,13,A*
11,7,18,258.95000000000005,0.0,self_collision,0.3888888888888889,10,4,4,4x4,10x10,False,0.16,13,A*
12,1,6,-47.983333333333334,0.0,self_collision,0.16666666666666666,4,4,4,4x4,10x10,False,0.16,13,A*
13,3,14,56.0,0.0,self_collision,0.21428571428571427,6,4,4,4x4,10x10,False,0.16,13,A*
14,9,21,362.8166666666666,0.0,self_collision,0.42857142857142855,12,4,4,4x4,10x10,False,0.16,13,A*
15,1,4,-48.833333333333336,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
16,3,13,55.166666666666686,0.0,self_collision,0.23076923076923078,6,4,4,4x4,10x10,False,0.16,13,A*
17,9,18,361.0333333333333,0.0,self_collision,0.5,12,4,4,4x4,10x10,False,0.16,13,A*
18,1,4,-48.833333333333336,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
19,5,16,158.08333333333337,0.0,self_collision,0.3125,8,4,4,4x4,10x10,False,0.16,13,A*
20,8,21,311.63333333333327,0.0,wall_collision,0.38095238095238093,11,4,4,4x4,10x10,False,0.16,13,A*
21,1,3,-48.6,0.0,self_collision,0.3333333333333333,4,4,4,4x4,10x10,False,0.16,13,A*
22,1,5,-48.43333333333334,0.0,self_collision,0.2,4,4,4,4x4,10x10,False,0.16,13,A*
23,5,18,158.20000000000005,0.0,self_collision,0.2777777777777778,8,4,4,4x4,10x10,False,0.16,13,A*
24,7,25,261.7833333333333,0.016050338745117188,self_collision,0.28,10,4,4,4x4,10x10,False,0.16,13,A*
25,6,17,208.83333333333326,0.00048351287841796875,self_collision,0.35294117647058826,9,4,4,4x4,10x10,False,0.16,13,A*
26,1,4,-48.36666666666667,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
27,11,39,467.73333333333323,0.0,self_collision,0.28205128205128205,14,4,4,4x4,10x10,False,0.16,13,A*
28,1,3,-48.6,0.0,self_collision,0.3333333333333333,4,4,4,4x4,10x10,False,0.16,13,A*
29,3,7,53.650000000000006,0.0,self_collision,0.42857142857142855,6,4,4,4x4,10x10,False,0.16,13,A*
30,5,16,158.25,0.0,self_collision,0.3125,8,4,4,4x4,10x10,False,0.16,13,A*
31,3,14,55.583333333333314,0.0,self_collision,0.21428571428571427,6,4,4,4x4,10x10,False,0.16,13,A*
32,1,3,-48.6,0.0,self_collision,0.3333333333333333,4,4,4,4x4,10x10,False,0.16,13,A*
33,1,4,-48.61666666666667,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
34,1,3,-48.6,0.0,self_collision,0.3333333333333333,4,4,4,4x4,10x10,False,0.16,13,A*
35,1,3,-48.6,0.0,self_collision,0.3333333333333333,4,4,4,4x4,10x10,False,0.16,13,A*
36,4,9,104.43333333333334,0.0,wall_collision,0.4444444444444444,7,4,4,4x4,10x10,False,0.16,13,A*
37,1,4,-48.86666666666667,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
38,5,18,158.7166666666667,0.0,self_collision,0.2777777777777778,8,4,4,4x4,10x10,False,0.16,13,A*
39,1,6,-47.983333333333334,0.0,self_collision,0.16666666666666666,4,4,4,4x4,10x10,False,0.16,13,A*
40,1,3,-49.266666666666666,0.0,self_collision,0.3333333333333333,4,4,4,4x4,10x10,False,0.16,13,A*
41,3,11,55.05000000000001,0.0,self_collision,0.2727272727272727,6,4,4,4x4,10x10,False,0.16,13,A*
42,1,5,-48.35,0.0,self_collision,0.2,4,4,4,4x4,10x10,False,0.16,13,A*
43,1,4,-48.36666666666667,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
44,3,9,53.23333333333332,0.0,self_collision,0.3333333333333333,6,4,4,4x4,10x10,False,0.16,13,A*
45,3,8,53.383333333333326,0.0,self_collision,0.375,6,4,4,4x4,10x10,False,0.16,13,A*
46,8,31,314.2166666666665,0.0,self_collision,0.25806451612903225,11,4,4,4x4,10x10,False,0.16,13,A*
47,6,14,208.46666666666664,0.0,wall_collision,0.42857142857142855,9,4,4,4x4,10x10,False,0.16,13,A*
48,1,6,-47.733333333333334,0.0,self_collision,0.16666666666666666,4,4,4,4x4,10x10,False,0.16,13,A*
49,1,4,-49.28333333333333,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
50,1,4,-48.61666666666667,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
