Grid_Size,Grid_Width,Grid_Height,Complexity,Training_Grid,Is_Training_Grid,Complexity_Ratio,Agent,Metric,Mean,Std,Max_Value,Success_Rate
4x4,4,4,16,10x10,False,0.16,A*,Points,4.635,3.4028919123054977,13.0,100.0
4x4,4,4,16,10x10,False,0.16,GP,Points,6.28,3.7270706025485896,13.0,95.0
4x4,4,4,16,10x10,False,0.16,DQN,Points,7.255,2.71048123821464,13.0,100.0
4x4,4,4,16,10x10,False,0.16,A*,Games_Won,5.0,21.849186132974538,100.0,100.0
4x4,4,4,16,10x10,False,0.16,GP,Games_Won,13.5,34.258109849381086,100.0,95.0
4x4,4,4,16,10x10,False,0.16,DQN,Games_Won,14.5,35.298440468347714,100.0,100.0
4x4,4,4,16,10x10,False,0.16,A*,Moves,14.65,9.423988422581212,,100.0
4x4,4,4,16,10x10,False,0.16,GP,Moves,24.315,13.869302895750398,,95.0
4x4,4,4,16,10x10,False,0.16,DQN,Moves,25.165,9.956073119448199,,100.0
5x5,5,5,25,10x10,False,0.25,A*,Points,6.11,4.669789574848831,21.0,100.0
5x5,5,5,25,10x10,False,0.25,GP,Points,10.785,3.366816339111258,19.0,100.0
5x5,5,5,25,10x10,False,0.25,DQN,Points,8.87,3.0757766515223848,18.0,100.0
5x5,5,5,25,10x10,False,0.25,A*,Games_Won,2.0,14.035131799278394,100.0,100.0
5x5,5,5,25,10x10,False,0.25,GP,Games_Won,2.5,15.651673213169872,100.0,100.0
5x5,5,5,25,10x10,False,0.25,DQN,Games_Won,0.5,7.0710678118654755,100.0,100.0
5x5,5,5,25,10x10,False,0.25,A*,Moves,24.125,17.576805610729924,,100.0
5x5,5,5,25,10x10,False,0.25,GP,Moves,56.77,17.551277351902826,,100.0
5x5,5,5,25,10x10,False,0.25,DQN,Moves,40.03,16.43745875283817,,100.0
6x6,6,6,36,10x10,False,0.36,A*,Points,7.89,5.455889814534538,21.0,100.0
6x6,6,6,36,10x10,False,0.36,GP,Points,12.3,4.580930541179988,26.0,100.0
6x6,6,6,36,10x10,False,0.36,DQN,Points,11.785,3.680558047047817,25.0,100.0
6x6,6,6,36,10x10,False,0.36,A*,Games_Won,0.0,0.0,100.0,100.0
6x6,6,6,36,10x10,False,0.36,GP,Games_Won,0.0,0.0,100.0,100.0
