Grid_Size,Comparison,Points_P_Value,Games_Won_P_Value,Moves_P_Value,Points_Significant,Games_Won_Significant,Moves_Significant
4x4,PSO-NN_vs_A*,1.1970626917832355e-05,0.0033980311231071912,6.1536194880029e-12,True,True,True
4x4,PSO-NN_vs_DQN,0.028676629780645547,0.7740241503491606,0.8175499710183316,True,False,False
5x5,PSO-NN_vs_A*,1.6776889487478286e-24,0.7375930298929049,1.1361055520566963e-43,True,False,True
5x5,PSO-NN_vs_DQN,2.0510479969762105e-08,0.10074180087192744,8.908177153034597e-20,True,False,True
6x6,PSO-NN_vs_A*,3.293349225957688e-15,1.0,7.294955042062007e-35,True,False,True
6x6,PSO-NN_vs_DQN,0.16668136074674544,1.0,1.0771024346548751e-13,False,False,True
7x7,PSO-NN_vs_A*,1.4252224136994367e-17,1.0,3.446863881198702e-37,True,False,True
7x7,PSO-NN_vs_DQN,3.88952950996459e-05,1.0,1.1918676795840093e-22,True,False,True
8x8,PSO-NN_vs_A*,1.7473862259469277e-22,1.0,1.0670648644304239e-42,True,False,True
8x8,PSO-NN_vs_DQN,0.0006611332638832949,1.0,8.696822398031234e-23,True,False,True
9x9,PSO-NN_vs_A*,1.7202335436808806e-21,1.0,4.7792051108069484e-43,True,False,True
9x9,PSO-NN_vs_DQN,1.9331833417644794e-09,1.0,1.9755308310581092e-33,True,False,True
10x10,PSO-NN_vs_A*,1.09181370694669e-19,1.0,4.208326603347086e-45,True,False,True
10x10,PSO-NN_vs_DQN,1.3194015932140862e-15,1.0,1.0400172288583539e-40,True,False,True
