Grid_Size,Grid_Width,Grid_Height,Grid_Complexity,Agent_Type,Agent_Name,Points_Mean,Points_Std,Games_Won_Mean,Games_Won_Std,Moves_Mean,Moves_Std
4x4,4,4,16,PSO-NN,GP,6.28,3.7270706025485896,13.5,34.258109849381086,24.315,13.869302895750398
4x4,4,4,16,Simple_Agent,A*,4.635,3.4028919123054977,5.0,21.849186132974538,14.65,9.423988422581212
4x4,4,4,16,Simple_Agent,DQN,7.255,2.71048123821464,14.5,35.298440468347714,25.165,9.956073119448199
5x5,5,5,25,PSO-NN,GP,10.785,3.366816339111258,2.5,15.651673213169872,56.77,17.551277351902826
5x5,5,5,25,Simple_Agent,A*,6.11,4.669789574848831,2.0,14.035131799278394,24.125,17.576805610729924
5x5,5,5,25,Simple_Agent,DQN,8.87,3.0757766515223848,0.5,7.0710678118654755,40.03,16.43745875283817
6x6,6,6,36,PSO-NN,GP,12.3,4.580930541179988,0.0,0.0,81.4,31.240516148844776
6x6,6,6,36,Simple_Agent,A*,7.89,5.455889814534538,0.0,0.0,37.075,26.760230279710143
6x6,6,6,36,Simple_Agent,DQN,11.785,3.680558047047817,0.0,0.0,60.235,22.710318532314687
7x7,7,7,49,PSO-NN,GP,14.56,5.108510978955664,0.0,0.0,117.17,42.76805622384339
7x7,7,7,49,Simple_Agent,A*,9.03,6.538567451790035,0.0,0.0,50.24,38.61148317749305
7x7,7,7,49,Simple_Agent,DQN,12.975,4.64351008716986,0.0,0.0,76.09,32.65630215366949
8x8,8,8,64,PSO-NN,GP,16.635,5.84831505176693,0.0,0.0,158.425,58.80599544691436
8x8,8,8,64,Simple_Agent,A*,9.665,7.055613610245776,0.0,0.0,59.04,46.37035095010799
8x8,8,8,64,Simple_Agent,DQN,15.26,5.388653629590465,0.0,0.0,102.965,43.81394852586486
9x9,9,9,81,PSO-NN,GP,19.55,6.7016460889476654,0.0,0.0,212.37,76.11570866468786
9x9,9,9,81,Simple_Agent,A*,11.85,8.309799264669122,0.0,0.0,82.28,63.206621369320345
9x9,9,9,81,Simple_Agent,DQN,16.03,5.2952144888013795,0.0,0.0,118.99,47.79278871614766
10x10,10,10,100,PSO-NN,GP,21.785,6.557727805410137,0.0,0.0,265.905,84.16928368818947
10x10,10,10,100,Simple_Agent,A*,13.82,9.703006838529113,0.0,0.0,104.615,79.63413055181628
10x10,10,10,100,Simple_Agent,DQN,16.875,6.365688095141256,0.0,0.0,135.06,63.28309530003861
