Grid_Size,PSO_NN_Agent,Simple_Agent,PSO_NN_Points_Mean,PSO_NN_Points_Std,Simple_Agent_Points_Mean,Simple_Agent_Points_Std,Points_P_Value,Points_Significant,PSO_NN_Games_Won_Mean,PSO_NN_Games_Won_Std,Simple_Agent_Games_Won_Mean,Simple_Agent_Games_Won_Std,Games_Won_P_Value,Games_Won_Significant,PSO_NN_Moves_Mean,PSO_NN_Moves_Std,Simple_Agent_Moves_Mean,Simple_Agent_Moves_Std,Moves_P_Value,Moves_Significant
4x4,GP,A*,6.28,3.7270706025485896,4.635,3.4028919123054977,1.1970626917832355e-05,True,13.5,34.258109849381086,5.0,21.849186132974538,0.0033980311231071912,True,24.315,13.869302895750398,14.65,9.423988422581212,6.1536194880029e-12,True
4x4,GP,DQN,6.28,3.7270706025485896,7.255,2.71048123821464,0.028676629780645547,True,13.5,34.258109849381086,14.5,35.298440468347714,0.7740241503491606,False,24.315,13.869302895750398,25.165,9.956073119448199,0.8175499710183316,False
5x5,GP,A*,10.785,3.366816339111258,6.11,4.669789574848831,1.6776889487478286e-24,True,2.5,15.651673213169872,2.0,14.035131799278394,0.7375930298929049,False,56.77,17.551277351902826,24.125,17.576805610729924,1.1361055520566963e-43,True
5x5,GP,DQN,10.785,3.366816339111258,8.87,3.0757766515223848,2.0510479969762105e-08,True,2.5,15.651673213169872,0.5,7.0710678118654755,0.10074180087192744,False,56.77,17.551277351902826,40.03,16.43745875283817,8.908177153034597e-20,True
6x6,GP,A*,12.3,4.580930541179988,7.89,5.455889814534538,3.293349225957688e-15,True,0.0,0.0,0.0,0.0,1.0,False,81.4,31.240516148844776,37.075,26.760230279710143,7.294955042062007e-35,True
6x6,GP,DQN,12.3,4.580930541179988,11.785,3.680558047047817,0.16668136074674544,False,0.0,0.0,0.0,0.0,1.0,False,81.4,31.240516148844776,60.235,22.710318532314687,1.0771024346548751e-13,True
7x7,GP,A*,14.56,5.108510978955664,9.03,6.538567451790035,1.4252224136994367e-17,True,0.0,0.0,0.0,0.0,1.0,False,117.17,42.76805622384339,50.24,38.61148317749305,3.446863881198702e-37,True
7x7,GP,DQN,14.56,5.108510978955664,12.975,4.64351008716986,3.88952950996459e-05,True,0.0,0.0,0.0,0.0,1.0,False,117.17,42.76805622384339,76.09,32.65630215366949,1.1918676795840093e-22,True
8x8,GP,A*,16.635,5.84831505176693,9.665,7.055613610245776,1.7473862259469277e-22,True,0.0,0.0,0.0,0.0,1.0,False,158.425,58.80599544691436,59.04,46.37035095010799,1.0670648644304239e-42,True
8x8,GP,DQN,16.635,5.84831505176693,15.26,5.388653629590465,0.0006611332638832949,True,0.0,0.0,0.0,0.0,1.0,False,158.425,58.80599544691436,102.965,43.81394852586486,8.696822398031234e-23,True
9x9,GP,A*,19.55,6.7016460889476654,11.85,8.309799264669122,1.7202335436808806e-21,True,0.0,0.0,0.0,0.0,1.0,False,212.37,76.11570866468786,82.28,63.206621369320345,4.7792051108069484e-43,True
9x9,GP,DQN,19.55,6.7016460889476654,16.03,5.2952144888013795,1.9331833417644794e-09,True,0.0,0.0,0.0,0.0,1.0,False,212.37,76.11570866468786,118.99,47.79278871614766,1.9755308310581092e-33,True
10x10,GP,A*,21.785,6.557727805410137,13.82,9.703006838529113,1.09181370694669e-19,True,0.0,0.0,0.0,0.0,1.0,False,265.905,84.16928368818947,104.615,79.63413055181628,4.208326603347086e-45,True
10x10,GP,DQN,21.785,6.557727805410137,16.875,6.365688095141256,1.3194015932140862e-15,True,0.0,0.0,0.0,0.0,1.0,False,265.905,84.16928368818947,135.06,63.28309530003861,1.0400172288583539e-40,True
