,,,points_scored,points_scored,points_scored,points_scored,points_scored,points_scored,game_won_percentage,game_won_percentage,moves_made,moves_made,moves_made,moves_made,efficiency,efficiency,survival_time,survival_time,survival_time,successful_episode,successful_episode,high_performance,high_performance
,,,count,mean,std,min,max,median,mean,std,mean,std,min,max,mean,std,mean,std,sum,sum,mean,sum,mean
grid_size,agent,agent_category,,,,,,,,,,,,,,,,,,,,,
10x10,A*,Simple_Agent,200,13.82,9.703,1,48,13.0,0.0,0.0,104.615,79.6341,3,461,0.1401,0.033,0.0076,0.0117,1.5274,200,1.0,0,0.0
10x10,DQN,Simple_Agent,200,16.875,6.3657,3,42,16.0,0.0,0.0,135.06,63.2831,24,439,0.1316,0.0232,0.072,0.0377,14.3902,200,1.0,0,0.0
10x10,GP,PSO-NN,200,21.785,6.5577,2,39,22.0,0.0,0.0,265.905,84.1693,15,464,0.083,0.0082,0.0087,0.0078,1.7397,200,1.0,0,0.0
4x4,A*,Simple_Agent,200,4.635,3.4029,1,13,5.0,5.0,21.8492,14.65,9.424,3,45,0.2979,0.0887,0.0004,0.0024,0.0826,200,1.0,62,0.31
4x4,DQN,Simple_Agent,200,7.255,2.7105,2,13,7.0,14.5,35.2984,25.165,9.9561,6,68,0.2993,0.074,0.0127,0.0092,2.5333,200,1.0,110,0.55
4x4,GP,PSO-NN,200,6.28,3.7271,0,13,6.5,13.5,34.2581,24.315,13.8693,4,58,0.252,0.0832,0.0002,0.0019,0.0492,190,0.95,100,0.5
5x5,A*,Simple_Agent,200,6.11,4.6698,1,21,5.0,2.0,14.0351,24.125,17.5768,3,78,0.2486,0.0593,0.0007,0.0028,0.1319,200,1.0,38,0.19
5x5,DQN,Simple_Agent,200,8.87,3.0758,1,18,9.0,0.5,7.0711,40.03,16.4375,7,87,0.2311,0.0504,0.0208,0.0111,4.1508,200,1.0,56,0.28
5x5,GP,PSO-NN,200,10.785,3.3668,2,19,11.0,2.5,15.6517,56.77,17.5513,15,99,0.1925,0.0335,0.0007,0.0032,0.1491,200,1.0,105,0.525
6x6,A*,Simple_Agent,200,7.89,5.4559,1,21,7.5,0.0,0.0,37.075,26.7602,3,112,0.2167,0.0449,0.0015,0.0044,0.2939,200,1.0,14,0.07
6x6,DQN,Simple_Agent,200,11.785,3.6806,3,25,11.0,0.0,0.0,60.235,22.7103,10,148,0.2017,0.0333,0.0304,0.0137,6.0892,200,1.0,21,0.105
6x6,GP,PSO-NN,200,12.3,4.5809,2,26,12.0,0.0,0.0,81.4,31.2405,8,165,0.1539,0.0262,0.0013,0.0041,0.2639,200,1.0,33,0.165
7x7,A*,Simple_Agent,200,9.03,6.5386,1,26,7.0,0.0,0.0,50.24,38.6115,3,177,0.1929,0.0438,0.0021,0.0052,0.4147,200,1.0,4,0.02
7x7,DQN,Simple_Agent,200,12.975,4.6435,5,27,12.0,0.0,0.0,76.09,32.6563,21,207,0.1779,0.0328,0.0381,0.0194,7.6151,200,1.0,9,0.045
7x7,GP,PSO-NN,200,14.56,5.1085,2,26,15.0,0.0,0.0,117.17,42.7681,11,202,0.1266,0.0182,0.0023,0.0052,0.463,200,1.0,9,0.045
8x8,A*,Simple_Agent,200,9.665,7.0556,1,29,9.0,0.0,0.0,59.04,46.3704,3,200,0.1746,0.0399,0.0028,0.006,0.5639,200,1.0,0,0.0
8x8,DQN,Simple_Agent,200,15.26,5.3887,5,32,14.0,0.0,0.0,102.965,43.8139,19,255,0.1546,0.0252,0.0546,0.0258,10.9154,200,1.0,2,0.01
8x8,GP,PSO-NN,200,16.635,5.8483,1,33,17.5,0.0,0.0,158.425,58.806,12,345,0.1071,0.017,0.0037,0.0067,0.7308,200,1.0,3,0.015
9x9,A*,Simple_Agent,200,11.85,8.3098,1,38,11.0,0.0,0.0,82.28,63.2066,4,326,0.1536,0.0321,0.0054,0.0081,1.0828,200,1.0,0,0.0
9x9,DQN,Simple_Agent,200,16.03,5.2952,5,31,16.0,0.0,0.0,118.99,47.7928,35,282,0.1399,0.0219,0.063,0.0303,12.6037,200,1.0,0,0.0
9x9,GP,PSO-NN,200,19.55,6.7016,3,34,20.0,0.0,0.0,212.37,76.1157,28,372,0.0937,0.0107,0.006,0.0076,1.1995,200,1.0,0,0.0
